genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
AS21ysBPME_32.fna,1_0,0.050000000000000044,average,ANImf,1
AS23ysBPME_212.fna,2_0,0.050000000000000044,average,ANImf,2
AS23ysBPME_181.fna,3_0,0.050000000000000044,average,ANImf,3
AS31mySISU_143.fna,4_0,0.050000000000000044,average,ANImf,4
AS08sgBPME_54.fna,5_1,0.050000000000000044,average,ANImf,5
AS09scLD_290.fna,5_1,0.050000000000000044,average,ANImf,5
AS08sgBPME_209.fna,6_0,0.050000000000000044,average,ANImf,6
AS05jafATM_89.fna,7_0,0.050000000000000044,average,ANImf,7
AS26fmACSIPLY_28.fna,8_0,0.050000000000000044,average,ANImf,8
AS06rmzACSIP_46.fna,9_1,0.050000000000000044,average,ANImf,9
AS10tlH2TH_252.fna,9_1,0.050000000000000044,average,ANImf,9
AS22ysBPME_327.fna,9_1,0.050000000000000044,average,ANImf,9
AS06rmzACSIP_421.fna,10_1,0.050000000000000044,average,ANImf,10
AS10tlH2TH_3.fna,10_1,0.050000000000000044,average,ANImf,10
AS06rmzACSIP_64.fna,11_0,0.050000000000000044,average,ANImf,11
AS19jrsBPTG_9.fna,12_0,0.050000000000000044,average,ANImf,12
AS27yjCOA_198.fna,13_0,0.050000000000000044,average,ANImf,13
AS27yjCOA_24.fna,14_0,0.050000000000000044,average,ANImf,14
AS27yjCOA_132.fna,15_0,0.050000000000000044,average,ANImf,15
AS27yjCOA_195.fna,16_0,0.050000000000000044,average,ANImf,16
AS27yjCOA_219.fna,17_0,0.050000000000000044,average,ANImf,17
AS06rmzACSIP_615.fna,18_1,0.050000000000000044,average,ANImf,18
AS29adLBPA_93.fna,18_1,0.050000000000000044,average,ANImf,18
AS06rmzACSIP_217.fna,19_0,0.050000000000000044,average,ANImf,19
AS10tlH2TH_146.fna,20_0,0.050000000000000044,average,ANImf,20
AS06rmzACSIP_370.fna,21_0,0.050000000000000044,average,ANImf,21
AS29adLBPA_236.fna,22_0,0.050000000000000044,average,ANImf,22
AS06rmzACSIP_121.fna,23_0,0.050000000000000044,average,ANImf,23
AS29adLBPA_230.fna,24_0,0.050000000000000044,average,ANImf,24
AS06rmzACSIP_503.fna,25_1,0.050000000000000044,average,ANImf,25
AS29adLBPA_21.fna,25_1,0.050000000000000044,average,ANImf,25
AS06rmzACSIP_358.fna,26_0,0.050000000000000044,average,ANImf,26
AS29adLBPA_167.fna,27_0,0.050000000000000044,average,ANImf,27
AS06rmzACSIP_194.fna,28_1,0.050000000000000044,average,ANImf,28
AS22ysBPME_16.fna,28_1,0.050000000000000044,average,ANImf,28
AS10tlH2TH_24.fna,29_0,0.050000000000000044,average,ANImf,29
AS25fmACSIPFO_55.fna,30_1,0.050000000000000044,average,ANImf,30
AS4JglBPFI_5.fna,30_1,0.050000000000000044,average,ANImf,30
AS31mySISU_16.fna,31_0,0.050000000000000044,average,ANImf,31
DTU-pt_118.fna,32_0,0.050000000000000044,average,ANImf,32
AS10tlH2TH_287.fna,33_1,0.050000000000000044,average,ANImf,33
AS15tlH2ME_233.fna,33_1,0.050000000000000044,average,ANImf,33
AS29adLBPA_30.fna,33_1,0.050000000000000044,average,ANImf,33
AS01afH2WH_22.fna,34_1,0.050000000000000044,average,ANImf,34
AS02xzSISU_89.fna,34_1,0.050000000000000044,average,ANImf,34
AS04akNAM_82.fna,34_1,0.050000000000000044,average,ANImf,34
